Type,X,Y,BB Width,BB Height,filename,Image Width,Image Height
title,85,98,562,93,video5_0_1_shot13.jpg,1280,720
header,147,9,294,55,video5_0_1_shot13.jpg,1280,720
text box,89,216,572,24,video5_0_1_shot13.jpg,1280,720
text box,89,258,454,26,video5_0_1_shot13.jpg,1280,720
text box,89,299,538,126,video5_0_1_shot13.jpg,1280,720
text box,89,438,472,62,video5_0_1_shot13.jpg,1280,720
text box,90,514,467,26,video5_0_1_shot13.jpg,1280,720
text box,90,555,501,27,video5_0_1_shot13.jpg,1280,720
text box,90,595,413,28,video5_0_1_shot13.jpg,1280,720
text box,90,638,503,25,video5_0_1_shot13.jpg,1280,720
footer,117,693,64,17,video5_0_1_shot13.jpg,1280,720
picture,685,155,334,492,video5_0_1_shot13.jpg,1280,720
header,682,47,224,17,video5_0_1_shot13.jpg,1280,720
instructor,989,391,290,327,video5_0_1_shot13.jpg,1280,720
title,88,97,558,96,video5_0_1_shot14.jpg,1280,720
text box,87,213,577,28,video5_0_1_shot14.jpg,1280,720
text box,89,259,456,28,video5_0_1_shot14.jpg,1280,720
text box,88,298,538,129,video5_0_1_shot14.jpg,1280,720
text box,89,439,473,60,video5_0_1_shot14.jpg,1280,720
text box,88,514,469,29,video5_0_1_shot14.jpg,1280,720
text box,87,555,505,28,video5_0_1_shot14.jpg,1280,720
text box,87,595,416,27,video5_0_1_shot14.jpg,1280,720
text box,89,637,506,30,video5_0_1_shot14.jpg,1280,720
footer,115,691,66,19,video5_0_1_shot14.jpg,1280,720
header,146,9,295,54,video5_0_1_shot14.jpg,1280,720
instructor,986,386,292,332,video5_0_1_shot14.jpg,1280,720
picture,687,156,332,491,video5_0_1_shot14.jpg,1280,720
header,682,47,224,15,video5_0_1_shot14.jpg,1280,720
header,146,9,296,55,video5_0_1_shot15.jpg,1280,720
title,87,95,561,99,video5_0_1_shot15.jpg,1280,720
text box,88,217,575,26,video5_0_1_shot15.jpg,1280,720
text box,88,258,457,27,video5_0_1_shot15.jpg,1280,720
text box,87,298,540,128,video5_0_1_shot15.jpg,1280,720
text box,88,439,473,61,video5_0_1_shot15.jpg,1280,720
text box,88,513,470,28,video5_0_1_shot15.jpg,1280,720
text box,87,553,505,30,video5_0_1_shot15.jpg,1280,720
text box,87,595,416,26,video5_0_1_shot15.jpg,1280,720
text box,88,636,507,30,video5_0_1_shot15.jpg,1280,720
footer,115,692,68,18,video5_0_1_shot15.jpg,1280,720
instructor,991,386,287,332,video5_0_1_shot15.jpg,1280,720
picture,685,153,334,495,video5_0_1_shot15.jpg,1280,720
header,682,47,224,15,video5_0_1_shot15.jpg,1280,720
header,146,9,295,54,video5_0_1_shot16.jpg,1280,720
title,84,97,563,97,video5_0_1_shot16.jpg,1280,720
text box,87,216,577,26,video5_0_1_shot16.jpg,1280,720
text box,88,258,456,30,video5_0_1_shot16.jpg,1280,720
text box,87,299,541,126,video5_0_1_shot16.jpg,1280,720
text box,88,439,473,61,video5_0_1_shot16.jpg,1280,720
